"site","Bog_marsh","Brownfield","Built.up","Decidious_forest","Grassland","Grassland_agri","Heathland","Orchard","Park","Pine_forest","Plantation","Shrub","Valley_forest","Arable"
113,0,0,0.00819632290904455,0.106172611599174,0.0113620552501624,0,0,0.019592269340532,0,0,0.0113620552501624,0.00109608160315501,0,0.842218604047769
114,0,0,0,0.00189511672798787,0.0356251250467454,0,0,0.0280342309132308,0,0,0.0356251250467454,0.00368124572190879,0,0.895139156543382
115,0,0,0,0.00128188361654014,0,0,0,0.057007771556468,0,0,0,0,0,0.941710344826992
116,0,0,0.0146992949084478,0,0,0,0,0,0,0,0,0.0169476242556721,0,0.96835308083588
117,0,0,0,0,0.00275614716328148,0.0041867839624458,0,0.0207764044209082,0,0,0,0,0,0.972280664453365
118,0,0,0.000279157189808717,0.000600451249480583,0.00318418325955599,0.0493849874065697,0,0.00234118427048739,0,0,0,0.00493074050763334,0,0.939279296116464
119,0,0,0.166661038195019,0.0106504222934478,0.0104504420403849,0.139237849609834,0,0.0356555160359802,0.00228915896108701,0,0.013038963267639,0.0162603784751042,0,0.605756231121504
120,0,0,0.12370981037083,0.00534257636994042,0.0170205976073805,0.316299868432264,0,0.0129531572507891,0,0,0.0371525537450166,0.0581851143464915,0.00556458931720498,0.423771732560084
121,0,0,0.089825472907672,0.00985571029530802,0.0078102637311479,0.200748639424572,0,0.0253880579898238,0.000319846023164767,0,0.00464631066586078,0.0325823712140497,0,0.628823327748401
122,0,6.05840138277271e-05,0.0522772292697321,0.0850857144113863,0.00422210100133491,0.166699231419342,0,0.0227205606449502,0,0,0.00297985797867933,0.0301556023574607,0,0.635799118903287
123,0,0,0,0.00700019259366327,0.00459408361741852,0,0,0,0,0,0.00289784863004202,0,0,0.985507875158876
124,0,0.00370143049897292,0.112272419411258,0.0263367011005596,0.018273163067845,0.0656687093846878,0,0.00801161950912643,0.00134498146690545,0,0.00510796903922761,0.00152202501542479,0,0.757760981505992
125,0,0.000255321471040754,0.099398149762645,0.0156179188872251,0.0118943095576268,0.0602419376451069,0,0.00528460058769876,0,0,0.00219158373625469,0.000816494310433531,0,0.804299684041968
126,0,0,0.00662176298256144,0.00279508114086778,0.00893003286337186,0.0434609629305743,0,0.0983471900279116,0,0,0,0.00339183151874248,0,0.83645313853597
127,0,0,0,0,0,0,0,0.15945750972042,0,0,0,0,0,0.84054249027958
128,0,0,0,0.18174720217908,0.0036786334239409,0.559007254054989,0,0.247780183968054,0,0,0.00426079099038807,0,0,0.00352593538354822
129,0,0.00115323782298861,0.00527772559795601,0.152014728686787,0.0342367328385701,0.498555127117235,7.2444137336897e-05,0.0379008595056413,0,0.000425997377446625,0.00996775029758439,0.00860154284584541,0,0.251793853772609
130,0,0,0.115393287613442,0.154754172492286,0.0121653832095943,0.509533642202092,0,0.0776390323328407,0.025906707726429,0,0.00567454874553513,0.00272823528099161,0,0.0962049903967892
131,0.000280839771448191,0.00113644515161088,0.0370388009198019,0.24140894855698,0.0390924303891147,0.287083692828403,0.00588332824981409,0.0447087154347399,0,0.0594155558066886,0.0543295225970402,0.0286801247143456,0.00477963259716619,0.196161962982847
132,0.000448569283816725,0.00389110905430956,0.0448309149556678,0.346929395095438,0.064530282038565,0.341498131574158,0.00345586718380489,0.0696139312695175,0,0.017663998939327,0.0382229460131586,0.0360244307040817,0.00186433556574525,0.0310260883224104
133,0,0,0.022257307786765,0.452924394474793,0.0183302956301885,0.248971777419431,0.0447464178925233,0.0194413523495119,0,0.048939500353575,0.0087278047593488,0.0193249738791439,0,0.11633617545472
134,0,0,0.0194457536278776,0.0651668557628395,0.0257077262332693,0.433077910460241,0.00118939518809471,0.0262922828099597,0,0,0.00144363822495648,0.00041246806427328,0,0.427263969628489
135,0.00910838630710842,0.0113275949838267,0.0118079214066517,0.0715030720719428,0.0790770997141241,0.208028480346071,0.00141534092217037,0.00417468060406041,0.0173564400252738,0.000222220162455855,0.0720651146820429,0.0143662207986026,0.032573231519157,0.466974196456513
136,0.00994776181897391,0.00404381952867987,0.00607747484334897,0.527857078047353,0.0719345513551059,0.126638995874261,0.0011555725400826,0.0188256951562459,0,0.0275599563814334,0.133730123892147,0.0115823106881457,0.0333951351352059,0.0272515247390174
137,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.7
138,0,0,0,0,0,0.00103057548465908,0,0.308739010985212,0,0,0,0.00372717000078649,0,0.686503243529343
139,0,0,0.0613220259538408,0.114804398972385,0,0.0852828465831577,0,0.211761645935081,0,0,0.0371068772793812,0,0,0.489722205276155
140,0,0.00154316714891651,0.284544557027243,0.00181328216060784,0.000738313837702965,0.0334682269428249,0,0.117154204484744,0.00506579714721627,0,0.00369357525444457,0.000738313837702965,0,0.551240562158597
141,0,0.0338504746180178,0,0.0156636530839704,0,0.0254438811783862,0,0.137581719831846,0,0,0,0.00829033280213794,0,0.779169938485642
142,0,0.00910648443457402,0.0712502039281222,0.00281482555045265,0.00289528440108062,0.0670484391797853,0,0.195535620204684,0,0,0.0122936583377806,0.00177776375186719,0,0.637277720211653
143,0,0,0.171600692270965,0.000292759159188685,0.00102023253039341,0.0779430311036971,0,0.269429327481049,0.00124433932949017,0,0.0108613774739859,0.00442825979948769,0,0.463179980851743
144,0,0,0,0.00166534497198798,0.000932456831175343,0.00751491437946027,0,0.168225162903315,0,0,0,0.00146082849124826,0,0.820201292422813
145,0,0,0.21939740915664,0.00305725192538761,0,0.0493324025011277,0,0.308796825659425,0.00272004242332031,0,0.00136061599765963,0,0,0.415335452336441
146,0,0,0.0657589895587609,0,0,0.0290557019147075,0,0.635648169233688,0,0,0.00156347981507681,0,0,0.267973659477766
147,0,0.00386705513967443,0.0195578585626688,0,0,0.0369853655284869,0,0.635091422143262,0,0,0.00169884467286174,0.00165730934557476,0,0.301142144607472
148,0.00242060594500661,0.000143618449450669,0.0370088857018602,0.000335805557296909,0.0162848013943924,0.111972923882816,0,0.437533035035501,0,0,0.0163009915286461,0.0190617385201269,0,0.358937593984903
149,0.155160443744192,0.00519170463565529,0.0526705654999675,0.0136722981727843,0.0228630182065919,0.106890441371133,0,0.112518406837846,0,0,0.175955833072495,0.00291816612685241,0.0073852291811079,0.344773893151375
150,0.00334816893209635,0.00105951047162055,0.0676158465417796,0.0102149393448886,0.0176679733939077,0.0505068528539715,0,0.273402803010266,0,0,0.00783458443384338,0.00323681186712976,0,0.565112509150497
151,0.00388037107757053,0,0.456400386690522,0.00381259368194598,0.00167514710163006,0.143233051191257,0,0.102198682042522,0.0236732611784944,0,0.00704893895746824,0,0.00224926141280515,0.255828306665785
152,0,0,0.259215202002,0,0.00058511703374179,0.0395142463236157,0,0.0128751935845619,0.00163872908312589,0,0,0.00123657006948482,0.000546243027708631,0.684388698875761
153,0.00439138007405786,0,0.0164426226245079,0,0.00140106084551296,0.192470174443215,0,0.0277724480057673,0,0,0.0373780575295071,0.00860741225419984,0,0.711536844223232
154,0,0,0.103430477760907,0.0013351844302783,0.000777572427049836,0.208985000301743,0,0.063657084418879,0,0,0,0.00743155059164878,0,0.614383130069494
155,0,0,0,0.00289875759487206,0,0,0,0.0324531882007044,0,0,0,0,0,0.964648054204424
156,0,0,0.00948849107937931,0.00467072364531677,0,0.0407437634118824,0,0.00414435848844111,0,0,0.0127761083493331,0.0244988445145508,0,0.903677710511097
